"# of Use","Utilisation numéro #",,"# of Use",WAHR
"%1$s incl tax.","%1$s TTC",,"%1$s incl tax.",WAHR
"%s - %s","%s - %s",,"%s - %s",WAHR
"%s Item(s)","%s article(s)",,"%s Item(s)",WAHR
"%s and above","%s et au dessus",,"%s and above",WAHR
"%s-%s of %s","%s-%s de %s",,"%s-%s of %s",WAHR
"(%d)","(%d)",,"(%d)",WAHR
"(Copy data from: %s)","(Copier les données à partir de: %s)",,"(Copy data from: %s)",WAHR
"* Required Fields","* Champs obligatoires",,"* Required Fields",WAHR
"-- Please Select --","-- Veuillez sélectionner --",,"-- Please Select --",WAHR
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 par défaut, si non défini. Pour réactualiser instantanément, Vider le cache des Blocs HTML de sortie.",,"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.",WAHR
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Avertissement !</strong> Appliquer MAP par défaut masquera tous les prix de produits.",,"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.",WAHR
"A group with the same name already exists.","Un group avec le même nom existe déjà.",,"A group with the same name already exists.",WAHR
"A name is required","Un nom est nécessaire",,"A name is required",WAHR
"A product type is not defined for the indexer.","Un type de produit n'est pas défini dans l'index.",,"A product type is not defined for the indexer.",WAHR
"ALL GROUPS","TOUS LES GROUPES",,"ALL GROUPS",WAHR
"AM","Avant midi",,"AM",WAHR
"Action","Action",,"Action",WAHR
"Actual Price","Prix",,"Actual Price",WAHR
"Add","Ajouter",,"Add",WAHR
"Add Attribute","Ajouter un Attribut",,"Add Attribute",WAHR
"Add Design Change","Ajouter une modification de design",,"Add Design Change",WAHR
"Add Group","Ajouter un groupe",,"Add Group",WAHR
"Add Group Price","Ajouter un prix de groupe",,"Add Group Price",WAHR
"Add New","Ajouter un nouveau",,"Add New",WAHR
"Add New Attribute","Ajouter un nouvel attribut",,"Add New Attribute",WAHR
"Add New Attribute Set","Ajouter un nouveau jeu d'attributs",,"Add New Attribute Set",WAHR
"Add New Group","Ajouter un nouveau groupe",,"Add New Group",WAHR
"Add New Images","Ajouter de nouvelles images",,"Add New Images",WAHR
"Add New Option","Ajouter nouvelle option",,"Add New Option",WAHR
"Add New Row","Ajouter nouvelle ligne",,"Add New Row",WAHR
"Add New Search Term","Ajouter un nouveau terme de recherche",,"Add New Search Term",WAHR
"Add New Set","Ajouter une nouvelle série",,"Add New Set",WAHR
"Add Product","Ajouter un produit",,"Add Product",WAHR
"Add Product To Websites","Ajouter un produits aux sites Internet",,"Add Product To Websites",WAHR
"Add Root Category","Ajouter une catégorie racine",,"Add Root Category",WAHR
"Add Subcategory","Ajouter une sous-catégorie",,"Add Subcategory",WAHR
"Add Tax","Ajouter une taxe",,"Add Tax",WAHR
"Add Tier","Ajouter un niveau",,"Add Tier",WAHR
"Add attribute into attribute set","Ajouter l'attribut à l'ensemble d'attributs",,"Add attribute into attribute set",WAHR
"Add group into attribute set","Ajouter le groupe à l'ensemble d'attributs",,"Add group into attribute set",WAHR
"Add new custom option into product","Ajouter une nouvelle option personnalisée dans le produit",,"Add new custom option into product",WAHR
"Add new values into custom option","Ajouter de nouvelles valeurs dans l'option personnalisée",,"Add new values into custom option",WAHR
"Add option","Ajouter une option",,"Add option",WAHR
"Add to Cart","Ajouter au panier",,"Add to Cart",WAHR
"Add to Compare","Ajouter au comparateur",,"Add to Compare",WAHR
"Add to Wishlist","Ajouter à la liste de cadeaux",,"Add to Wishlist",WAHR
"Additional Information","Informations supplémentaires",,"Additional Information",WAHR
"Alert Urls","Alertes Urls",,"Alert Urls",WAHR
"All","Tous",,"All",WAHR
"All Product Types","Tous les types de produits",,"All Product Types",WAHR
"All Websites","Tous les sites web",,"All Websites",WAHR
"All products","Tous les produits",,"All products",WAHR
"All products - recently added products, New products - products marked as new","Tous les produits - produits récemment ajoutés, Nouveau produits - produits indiqués comme nouveaux",,"All products - recently added products, New products - products marked as new",WAHR
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tous les produits de cette série seront effacés ! Etes-vous sur de vouloir supprimer cette série d'attributs ?",,"All products of this set will be deleted! Are you sure you want to delete this attribute set?",WAHR
"Allow All Products per Page","Autoriser tous les produits par page",,"Allow All Products per Page",WAHR
